Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35004,FUTIDX,XX,-1,NIFTY,NIFTY JUN FUT,NIFTY27JUN24F,2024-06-27,50,0.05
NFO,nse_fo,AARTIIND,35005,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND JUN FUT,AARTIIND27JUN24F,2024-06-27,1000,0.05
NFO,nse_fo,MIDCPNIFTY,35006,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY APR FUT,MIDCPNIFTY29APR24F,2024-04-29,75,0.05
NFO,nse_fo,BANKNIFTY,35007,OPTIDX,CE,51100,BANKNIFTY,BANKNIFTY 24th APR 51100 CE,BANKNIFTY24APR24C51100,2024-04-24,15,0.05
NFO,nse_fo,BANKNIFTY,35012,OPTIDX,PE,51100,BANKNIFTY,BANKNIFTY 24th APR 51100 PE,BANKNIFTY24APR24P51100,2024-04-24,15,0.05
NFO,nse_fo,BANKNIFTY,35020,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY JUN FUT,BANKNIFTY26JUN24F,2024-06-26,15,0.05
NFO,nse_fo,MIDCPNIFTY,35025,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY JUN FUT,MIDCPNIFTY24JUN24F,2024-06-24,75,0.05
NFO,nse_fo,ABB,35028,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB JUN FUT,ABB27JUN24F,2024-06-27,125,0.05
NFO,nse_fo,ABBOTINDIA,35029,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA JUN FUT,ABBOTINDIA27JUN24F,2024-06-27,40,0.05
NFO,nse_fo,ABCAPITAL,35030,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUN FUT,ABCAPITAL27JUN24F,2024-06-27,5400,0.05
NFO,nse_fo,ABFRL,35031,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL JUN FUT,ABFRL27JUN24F,2024-06-27,2600,0.05
NFO,nse_fo,ACC,35047,FUTSTK,XX,-1,ACC LIMITED,ACC JUN FUT,ACC27JUN24F,2024-06-27,300,0.05
NFO,nse_fo,ADANIENT,35048,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT JUN FUT,ADANIENT27JUN24F,2024-06-27,300,0.05
NFO,nse_fo,FINNIFTY,35051,FUTIDX,XX,-1,FINNIFTY,FINNIFTY APR FUT,FINNIFTY30APR24F,2024-04-30,40,0.05
NFO,nse_fo,ADANIPORTS,35074,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS JUN FUT,ADANIPORTS27JUN24F,2024-06-27,800,0.05
NFO,nse_fo,ALKEM,35076,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM JUN FUT,ALKEM27JUN24F,2024-06-27,200,0.05
NFO,nse_fo,FINNIFTY,35089,FUTIDX,XX,-1,FINNIFTY,FINNIFTY MAY FUT,FINNIFTY28MAY24F,2024-05-28,40,0.05
NFO,nse_fo,FINNIFTY,35152,FUTIDX,XX,-1,FINNIFTY,FINNIFTY JUN FUT,FINNIFTY25JUN24F,2024-06-25,40,0.05
NFO,nse_fo,AMBUJACEM,35200,FUTSTK,XX,-1,AMBUJA CEMENTS LTD,AMBUJACEM JUN FUT,AMBUJACEM27JUN24F,2024-06-27,1800,0.05
NFO,nse_fo,APOLLOHOSP,35201,FUTSTK,XX,-1,APOLLO HOSPITALS ENTER. L,APOLLOHOSP JUN FUT,APOLLOHOSP27JUN24F,2024-06-27,125,0.05
NFO,nse_fo,APOLLOTYRE,35203,FUTSTK,XX,-1,APOLLO TYRES LTD,APOLLOTYRE JUN FUT,APOLLOTYRE27JUN24F,2024-06-27,1700,0.05
NFO,nse_fo,ASHOKLEY,35210,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY JUN FUT,ASHOKLEY27JUN24F,2024-06-27,5000,0.05
NFO,nse_fo,ASIANPAINT,35213,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT JUN FUT,ASIANPAINT27JUN24F,2024-06-27,200,0.05
NFO,nse_fo,ASTRAL,35216,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL JUN FUT,ASTRAL27JUN24F,2024-06-27,367,0.05
NFO,nse_fo,ATUL,35223,FUTSTK,XX,-1,ATUL LTD,ATUL JUN FUT,ATUL27JUN24F,2024-06-27,75,0.05
NFO,nse_fo,AUBANK,35232,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK JUN FUT,AUBANK27JUN24F,2024-06-27,1000,0.05
