Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty
MCX,mcx_fo,GOLD,256173,OPTFUT,CE,60200,GOLD,GOLD26MAR24C60200,GOLD 26th MAR 60200 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256174,OPTFUT,PE,60200,GOLD,GOLD26MAR24P60200,GOLD 26th MAR 60200 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256175,OPTFUT,CE,60300,GOLD,GOLD26MAR24C60300,GOLD 26th MAR 60300 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256176,OPTFUT,PE,60300,GOLD,GOLD26MAR24P60300,GOLD 26th MAR 60300 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256177,OPTFUT,CE,60400,GOLD,GOLD26MAR24C60400,GOLD 26th MAR 60400 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256178,OPTFUT,PE,60400,GOLD,GOLD26MAR24P60400,GOLD 26th MAR 60400 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256179,OPTFUT,CE,60500,GOLD,GOLD26MAR24C60500,GOLD 26th MAR 60500 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256180,OPTFUT,PE,60500,GOLD,GOLD26MAR24P60500,GOLD 26th MAR 60500 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256181,OPTFUT,CE,60600,GOLD,GOLD26MAR24C60600,GOLD 26th MAR 60600 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256182,OPTFUT,PE,60600,GOLD,GOLD26MAR24P60600,GOLD 26th MAR 60600 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256183,OPTFUT,CE,60700,GOLD,GOLD26MAR24C60700,GOLD 26th MAR 60700 CE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256184,OPTFUT,PE,60700,GOLD,GOLD26MAR24P60700,GOLD 26th MAR 60700 PE,2024-03-26,1,0.5,100.0
MCX,mcx_fo,GOLD,256185,OPTFUT,CE,60800,GOLD,GOLD26MAR24C60800,GOLD 26th MAR 60800 CE,2024-03-26,1,0.5,100.0
