Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,BANKNIFTY,35004,OPTIDX,CE,43300,BANKNIFTY,BANKNIFTY 27th MAR 43300 CE,BANKNIFTY27MAR24C43300,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35005,OPTIDX,PE,43300,BANKNIFTY,BANKNIFTY 27th MAR 43300 PE,BANKNIFTY27MAR24P43300,2024-03-27,15,0.05
NFO,nse_fo,MIDCPNIFTY,35006,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY APR FUT,MIDCPNIFTY29APR24F,2024-04-29,75,0.05
NFO,nse_fo,FINNIFTY,35020,FUTIDX,XX,-1,FINNIFTY,FINNIFTY MAR FUT,FINNIFTY26MAR24F,2024-03-26,40,0.05
NFO,nse_fo,BANKNIFTY,35028,OPTIDX,CE,42800,BANKNIFTY,BANKNIFTY 27th MAR 42800 CE,BANKNIFTY27MAR24C42800,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35029,OPTIDX,PE,42800,BANKNIFTY,BANKNIFTY 27th MAR 42800 PE,BANKNIFTY27MAR24P42800,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35030,OPTIDX,CE,42900,BANKNIFTY,BANKNIFTY 27th MAR 42900 CE,BANKNIFTY27MAR24C42900,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35031,OPTIDX,PE,42900,BANKNIFTY,BANKNIFTY 27th MAR 42900 PE,BANKNIFTY27MAR24P42900,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35047,OPTIDX,CE,43400,BANKNIFTY,BANKNIFTY 27th MAR 43400 CE,BANKNIFTY27MAR24C43400,2024-03-27,15,0.05
NFO,nse_fo,BANKNIFTY,35048,OPTIDX,PE,43400,BANKNIFTY,BANKNIFTY 27th MAR 43400 PE,BANKNIFTY27MAR24P43400,2024-03-27,15,0.05
NFO,nse_fo,FINNIFTY,35051,FUTIDX,XX,-1,FINNIFTY,FINNIFTY APR FUT,FINNIFTY30APR24F,2024-04-30,40,0.05
NFO,nse_fo,BANKNIFTY,35074,OPTIDX,CE,43100,BANKNIFTY,BANKNIFTY 27th MAR 43100 CE,BANKNIFTY27MAR24C43100,2024-03-27,15,0.05
